method,metric,analysis_type,mean,std,median,min,max,n,ci_lower,ci_upper
BayesianRidge,mae,vulnerable_activity,0.8631732991885792,0.02934230724241825,0.8679369721324275,0.7803868704084912,0.9092725332060216,100,0.8574222069690652,0.8689243914080932
Ridge,mae,vulnerable_activity,0.8633729378684949,0.029298242231360756,0.868142219575966,0.7805598902328625,0.9094639663827416,100,0.8576304823911481,0.8691153933458416
LinearSVR,mae,vulnerable_activity,0.866685575681264,0.031960049670221584,0.8729719876091684,0.778816753170595,0.9216704268462986,100,0.8604214059459006,0.8729497454166275
StochasticItemKNN,mae,vulnerable_activity,0.8705463212029187,0.09046940846204456,0.8451676696984749,0.7908762905246607,1.177610729098011,100,0.8528143171443581,0.8882783252614794
Bagging,mae,vulnerable_activity,0.871447153863329,0.030536256803066993,0.8786220518018176,0.7887995026256248,0.9164529937169558,100,0.865462047529928,0.8774322601967302
Bagging,ndcg,vulnerable_activity,0.8039139618612985,0.016285781312742453,0.8030157000528683,0.7672496908842078,0.8395646331742627,100,0.8007219487240009,0.807105974998596
AdaBoost,ndcg,vulnerable_activity,0.8040668199294356,0.016774283931656146,0.8034376355663713,0.7684856192999915,0.8407384001317092,100,0.8007790602788311,0.8073545795800402
LinearSVR,ndcg,vulnerable_activity,0.8040918026213666,0.016367724294720942,0.8036677030283437,0.7647179298744919,0.8407070440795389,100,0.8008837286596013,0.8072998765831318
Ridge,ndcg,vulnerable_activity,0.8042203066543787,0.016378042803703762,0.8039461139513331,0.7664588947420866,0.8419117204938293,100,0.8010102102648528,0.8074304030439047
BayesianRidge,ndcg,vulnerable_activity,0.8043006468231656,0.016319224917710057,0.8039671670986395,0.7665318297393053,0.8422735866239324,100,0.8011020787392944,0.8074992149070368
Tweedie,ndcg,vulnerable_activity,0.8043098504300888,0.016693179022847286,0.8042150984023211,0.7709877675259766,0.8466017461210216,100,0.8010379873416108,0.8075817135185669
GradientBoosting,ndcg,vulnerable_activity,0.8043192723408978,0.017281252207118708,0.803028131688202,0.7660780991658572,0.8449375924135216,100,0.8009321469083026,0.8077063977734931
RandomForest,ndcg,vulnerable_activity,0.8046644753221672,0.016754319325959957,0.804602375603542,0.7697717349780662,0.8415910187628005,100,0.8013806287342791,0.8079483219100554
StochasticItemKNN,ndcg,vulnerable_activity,0.8378333312400044,0.010636095074295042,0.8382721209978337,0.8151138284232463,0.8635265896376808,100,0.8357486566054425,0.8399180058745662
NMF,ndcg,vulnerable_activity,0.8747474552846622,0.010971931899267677,0.8758340860808382,0.8516913885583987,0.8955079663002876,100,0.8725969566324058,0.8768979539369187
BIASEDMF,ndcg,vulnerable_activity,0.8894650869102197,0.011241831678394152,0.8893289013701324,0.8669100250321518,0.9138829151445468,100,0.8872616879012545,0.891668485919185
SVD,ndcg,vulnerable_activity,0.8898411884543107,0.009067497554621967,0.8911002657149145,0.8725465698881645,0.909138823113728,100,0.8880639589336048,0.8916184179750166
SVD,rmse,vulnerable_activity,0.9425795578500287,0.029223007442732152,0.947665046279375,0.8882864677603245,0.9920762369815536,100,0.9368518483912531,0.9483072673088042
BIASEDMF,rmse,vulnerable_activity,0.947688096247898,0.04020265999357104,0.95682475137437,0.8690332977731144,1.0076390237795152,100,0.939808374889158,0.9555678176066379
